x,y
1000,5640
1000,11396
1000,35756
1000,121000
1000,186000
1000,195996
1000,215996
1000,248000
1000,268308
1000,298308
1000,339000
1000,401000
1000,494046
1000,538208
1000,543162
1000,555640
1000,563640
1000,573000
1000,605000
1000,653000
1000,804000
1000,980000
1000,1060046
1000,1090452
1000,1099162
1000,1108512
1000,1111756
1000,1120756
1000,1152756
1000,1211162
1000,1245324
1000,1256162
1000,1300000
1000,1350000
1000,1406448
1000,1451448
1000,1468000
1000,1567162
1000,1688162
1000,1730000
1000,1749000
1000,1786000
1000,1833000
1000,1856000
1000,1869000
1000,1939640
1000,1999396
1000,2001604
1000,2100604
1000,2215756
1000,2264000
1000,2314162
1000,2342918
1000,2387756
1000,2456162
1000,2507208
1000,2526208
1000,2540162
1000,2745000
1000,2946000
1000,2960000
1000,2989000
1000,3025000
1000,3036502
1000,3047502
1000,3062374
1000,3078674
1000,3102300
1000,3119000
1000,3144832
1000,3262832
1000,3503700
1000,3766700
1000,3906000
1000,4075000
1000,4230000
1000,4318000
1000,4403000
1000,4470999
1000,4535999
1000,4541000
1000,4585000
1000,4625000
1000,4634848
1000,4653848
1000,4695000
1000,4760000
1000,4801684
1000,4810684
1000,4815000
1000,4848999
1000,4898999
1000,4932284
1000,4965284
1000,5005664
1000,5052068
1000,5106404
1000,5141000
1000,5150000
1000,5155000
1000,5175000
1000,5224000
1000,5259000
1000,5265000
1000,5271000
1000,5287000
1000,5320664
1000,5386100
1000,5429436
1000,5432000
1000,5463000
1000,5500616
1000,5514616
1000,5521000
1000,5525000
1000,5534000
1000,5642436
1000,5753436
1000,5795000
1000,5842000
1000,5927999
1000,6090999
1000,6201000
1000,6221000
1000,6223000
1000,6226000
1000,6229000
1000,6258700
1000,6429700
1000,6583000
1000,6596000
1000,6599000
1000,6643000
1000,6703256
1000,6760256
1000,6815000
1000,6861000
1000,6908000
1000,6927000
1000,6937000
1000,6946000
1000,6953000
1000,6986000
1000,7018000
1000,7030000
1000,7039000
1000,7042296
1000,7046592
1000,7094364
1000,7142068
1000,7145068
1000,7147068
1000,7149000
1000,7150999
1000,7151999
1000,7168000
1000,7189000
1000,7196000
1000,7206000
1000,7221000
1000,7228999
1000,7229999
1000,7248332
1000,7267332
1000,7268336
1000,7273336
1000,7369000
1000,7460668
1000,7461668
1000,7462004
1000,7462826
1000,7470822
1000,7494000
1000,7513000
1000,7517000
1000,7572000
1000,7627000
1000,7634000
1000,7646668
1000,7653668
1000,7654668
1000,7656158
1000,7670490
1000,7690000
1000,7702000
1000,7716000
1000,7742000
1000,7773000
1000,7796000
1000,7815000
1000,7830000
1000,7837892
1000,7916892
1000,8076999
1000,8174999
1000,8208000
1000,8232000
1000,8239000
1000,8308000
1000,8380000
1000,8402000
1000,8433000
1000,8458324
1000,8471324
1000,8480000
1000,8493892
1000,8550556
1000,8613664
1000,8628000
1000,8634999
1000,8641999
1000,8661000
1000,8725664
1000,8780664
1000,8944000
1000,9128000
1000,9191000
1000,9247000
1000,9273000
1000,9324000
1000,9387000
1000,9413000
1000,9438000
1000,9455000
1000,9460000
1000,9468000
1000,9499000
1000,9536999
1000,9547999
1000,9572000
1000,9598000
1000,9607000
1000,9716999
1000,9819999
1000,9824296
1000,9892296
1000,9957000
1000,10006068
1000,10060068
1000,10067000
1000,10092000
1000,10139000
1000,10189000
1000,10233000
1000,10252000
1000,10290000
1000,10337000
1000,10371000
1000,10408000
1000,10456296
1000,10491906
1000,10494610
1000,10520000
1000,10553000
1000,10563000
1000,10566000
1000,10586554
1000,10606462
1000,10608466
1000,10639557
1000,10669999
1000,10676664
1000,10684664
1000,10703000
1000,10745704
1000,10784926
1000,10799444
1000,10801448
1000,10802780
1000,10803444
1000,10804780
1000,10809890
1000,10829284
1000,10850284
1000,10860436
1000,10870040
1000,10877208
1000,10880208
1000,10884208
1000,10889672
1000,10893450
1000,10920722
1000,10947636
1000,10971186
1000,10994890
1000,10996222
1000,10996780
1000,10998116
1000,11021558
1000,11045000
1000,11047856
1000,11051856
1000,11058000
1000,11069000
1000,11080000
1000,11096000
1000,11114000
1000,11139000
1000,11180000
1000,11398000
1000,11681000
1000,11777000
1000,11802000
1000,11822000
1000,11887000
1000,11951000
1000,11988004
1000,12027008
1000,12077004
1000,12125000
1000,12129664
1000,12132274
1000,12175425
1000,12217631
1000,12220816
1000,12225816
1000,12236816
1000,12279000
1000,12318000
1000,12330156
1000,12339156
1000,12352664
1000,12370664
1000,12405000
1000,12451000
1000,12478296
1000,12493296
1000,12504000
1000,12520436
1000,12533436
1000,12534382
1000,12546382
1000,12568068
1000,12586208
1000,12601140
1000,12613000
1000,12637000
1000,12656655
1000,12662655
1000,12669000
1000,12708568
1000,12747140
1000,12749484
1000,12752912
1000,12755000
1000,12756936
1000,12758182
1000,12761246
1000,12764436
1000,12768436
1000,12794930
1000,12835930
1000,12855988
1000,12864988
1000,12872956
1000,12873956
1000,12993000
1000,13127684
1000,13179668
1000,13216994
1000,13223526
1000,13324516
1000,13453000
1000,13574000
1000,13742000
1000,13867000
1000,13934000
1000,13987000
1000,14119446
1000,14247412
1000,14296966
1000,14326000
1000,14439200
1000,14581194
1000,14616988
1000,14622014
1000,14737020
1000,14863000
1000,14898000
1000,14947000
1000,14997000
1000,15020000
1000,15025000
1000,15049000
1000,15090116
1000,15134116
1000,15169000
1000,15224000
1000,15279000
1000,15321000
1000,15447672
1000,15580622
1000,15645900
1000,15716950
1000,15776000
1000,15795000
1000,15836000
1000,15903000
1000,15937704
1000,15979682
1000,16038978
1000,16096644
1000,16347844
1000,16676200
1000,16792000
1000,16797000
1000,16808000
1000,16825000
1000,16848000
1000,16872000
1000,16893000
1000,16908000
1000,16935000
1000,16962000
1000,16992688
1000,17272688
1000,17534999
1000,17545999
1000,17585000
1000,17635000
1000,17703000
1000,17901216
1000,18112888
1000,18461744
1000,18747072
1000,18762000
1000,18987200
1000,19482800
1000,19776600
1000,19810000
1000,19833664
1000,19842328
1000,19847328
1000,19851328
1000,19866664
1000,19889668
1000,19902310
1000,19907284
1000,19911310
1000,19917668
1000,19936496
1000,19953496
1000,20301788
1000,20654788
1000,20669000
1000,20677000
1000,20681000
1000,20688504
1000,20705304
1000,20717700
1000,20728564
1000,20748912
1000,20759684
1000,20780436
1000,20833116
1000,20892116
1000,20959996
1000,21001996
1000,21021892
1000,21079892
1000,21118100
1000,21119100
1000,21121000
1000,21145000
1000,21175000
1000,21184000
1000,21187000
1000,21200952
